,category,titles,pageids
10,Arts & Entertainment>Entertainment Industry>Recording Industry,"['Recording studio', 'International Federation of the Phonographic Industry', 'The Recording Academy', 'Home recording', 'Recording Workshop', 'Bootleg recording', 'Analog recording', 'Cue Recording Studios', 'Audio mastering', 'Promotional recording', 'Tape recorder', 'Westlake Recording Studios', 'Video game industry', 'Comparison of analog and digital recording', 'Optical recording', 'Sunset industry', 'Sex industry', 'Record label', 'Grammy Award for Best Polka Album', 'Association of Hungarian Record Companies']","['190003', '2753593', '254878', '1488043', '156859', '24688207', '485508', '2458121', '180086', '21997403', '2604089', '147101', '34969467', '234751', '20603860', '10162367', '70912', '8850489', '372478', '15168647']"
11,Arts & Entertainment>Entertainment Industry>Recording Industry>Music Awards,"['Soul Train Music Awards', 'Myx Music Award', 'Billboard Latin Music Awards', 'CMT Music Awards', 'Mnet Asian Music Award for Best Music Video', 'MTV Pilipinas Music Award', 'Indigenous Music Awards', 'Soul Train Music Award for Best Video of the Year', 'Global Indian Music Academy Awards', 'MTV Video Music Award for Video of the Year', 'Music video award', 'Mnet Asian Music Award for Best International Artist', 'Soul Train Music Award for Best Rap Single', 'Mnet Asian Music Award for Best Female Artist', 'MTV Video Music Award for Best Visual Effects', 'Mnet Asian Music Award for Best Male Artist', 'Billboard Women in Music', 'Amadeus Austrian Music Awards', 'Soul Train Music Award for Best Song of the Year', 'MTV Europe Music Award for Best Cover']","['49366589', '6121004', '44398614', '16942396', '45314592', '34295599', '25694163', '12747554', '477230', '476903', '43038976', '43089477', '43038588', '43085258', '2884953', '9828164', '5804318', '5588629', '6186050', '2178155']"
12,Arts & Entertainment>Entertainment Industry>Recording Industry>Record Labels,"['Record label', 'Independent record label', 'Open-source record label', 'Universal Records (defunct record label)', 'Orange Record Label', 'Prelude Records (record label)', 'Tower Records (record label)', 'Subharmonic (record label)', 'XO (record label)', 'Capri Records (Jazz record label)', 'Zone 4 (record label)', 'Amiga (record label)', 'List of record labels', 'Music for Pleasure (record label)', 'Accord (French record label)', ""Spinnin' Records"", 'Vanity label', 'Tri Angle (record label)', 'Orlando (record label)', 'Hypnos (record label)']","['35160605', '1042179', '42236162', '3381784', '47863329', '193135', '4131054', '367855', '2300550', '22920913', '10035180', '147101', '21655829', '44151586', '4745489', '43591960', '1184481', '1021269', '49438034', '12945795']"
13,Arts & Entertainment>Events & Listings,"['Event Viewer', 'Discrete event simulation', 'Event management', 'Extinction event', 'Media event', 'Event chain methodology', 'Quick time event', 'Event generator', 'Train event recorder', 'Impact event', 'Solar particle event', 'Late Devonian extinction', 'Bren Events Center', 'Security event manager', 'Publication history of Marvel Comics crossover events', 'Track and field', 'Library event planning', 'Cleaning event', 'Hague Convention for the Protection of Cultural Property in the Event of Armed Conflict', 'Event data recorder']","['2096537', '23230510', '5920634', '4132085', '10061279', '5361228', '3458824', '3155871', '9813', '2578344', '63794', '1350609', '24942333', '5329685', '4483550', '12114439', '3169520', '38180478', '194904', '2150880']"
14,Arts & Entertainment>Events & Listings>Clubs & Nightlife,"['Nightlife', 'At the Club', 'Berg am Laim', 'Nightset', 'Thamel', '93 Park', 'Ibiza', 'Sandestin Golf and Beach Resort', 'Milehouse', 'Closer to Heaven', 'Subprefecture of Pinheiros', 'Culture of Bangalore', 'Makode Linde', 'Corral de Bustos', 'Innervision Records', 'Tribe Magazine', 'Spyrou Kyprianou Avenue', 'Stelios Papathemelis', 'Albanian Riviera', 'Votuporanga']","['20799888', '17258533', '1148029', '33928074', '726974', '29830323', '3993937', '63624', '11219075', '43959244', '13820782', '951578', '53432677', '6261485', '32755870', '11585479', '30597316', '3904568', '5001288', '6515786']"
15,Arts & Entertainment>Events & Listings>Concerts & Music Festivals,"['Concert', 'Music festival', 'Music venue', 'Tanglewood Music Festival', 'Norfolk Chamber Music Festival', 'London Festival of Baroque Music', 'Klipsch Music Center', 'Cabrillo Festival of Contemporary Music', 'Festival of New Trumpet Music', 'Free festival', 'VELD Music Festival', 'Ozark Music Festival', 'Appalachian String Band Music Festival', 'Schlern International Music Festival', 'Ottawa Chamberfest', 'Virgin Festival', 'Lockenhaus Chamber Music Festival', 'Madras Music Season', 'Menuhin Festival Gstaad', 'Helpmann Award for Best Contemporary Concert Presentation']","['22910587', '39139961', '236918', '12753434', '2457622', '35590228', '9276648', '32296719', '27266422', '1638423', '35598048', '7504750', '2409546', '33668409', '4026969', '3407395', '30755067', '13476970', '54440806', '5778215']"
16,Arts & Entertainment>Events & Listings>Film Festivals,"['Toronto International Film Festival', 'Sarajevo Film Festival', 'Karlovy Vary International Film Festival', 'KASHISH Mumbai International Queer Film Festival', 'Adelaide Film Festival', 'ReelWorld Film Festival', 'Panafrican Film and Television Festival of Ouagadougou', 'UK Jewish Film Festival', 'Downtown Boca Film Festival']","['2019629', '6018256', '25694444', '51167', '1830664', '24976757', '751330', '178751', '29614170']"
17,Arts & Entertainment>Events & Listings>Live Sporting Events,"['Broadcasting of sports events', 'Sporting clays', 'Media event', 'BBC Radio 5 Live', 'Live television', '5 live Sport', 'Music at sporting events', 'BBC Radio 5 Live Sports Extra', 'Anschutz Entertainment Group', 'Xbox Live', 'Stadium Events', 'Animals in sport', 'Echo Arena Liverpool', 'Park Live', 'KPRO', 'Television timeout', 'Eurosport 1', 'Ballarat Show', 'Shoulder programming', 'Mayweather Promotions']","['11328801', '5845673', '1049165', '233912', '233917', '36564504', '3182739', '8120844', '48544488', '5875307', '538871', '40019242', '5329685', '2121727', '40138257', '45532955', '768417', '9725828', '7039104', '881586']"
18,Arts & Entertainment>Events & Listings>Movie Listings & Theater Showtimes,"['Movie theater', 'The ABC Sunday Night Movie', '32nd PMPC Star Awards for Movies', 'Flash animation', 'Pay television', 'National CineMedia', 'Karylle', 'Paramount Plaza', 'SuperTV', 'The Polyphonic Spree', 'Primetime Emmy Award for Outstanding Lead Actress in a Limited Series or Movie', 'Tequan Richmond', 'CBS Films', 'Xian Lim', 'The Crump Theatre', 'HBO', 'GetTV', 'WUPA', 'Pilipinas Got Talent']","['49742579', '23211895', '1649198', '39207839', '4765530', '4760796', '77819', '3445931', '13920307', '661989', '24581018', '4038124', '3766344', '2867646', '1020586', '33546295', '424828', '765191', '24008332']"
19,Arts & Entertainment>Events & Listings>Ticket Sales,"['Ticket Galaxy', 'Ticket resale', 'New Era Tickets', 'Ticket machine', 'Eventbrite', 'Ticket Liquidator', 'Primary ticket outlet', 'TicketIQ', 'Ticketfly', 'ScoreBig', 'Ticketscript', 'Ticketbis', 'Classictic', 'Cash4Life', 'Theatrical producer', 'Sellindge', 'Raffle', 'Bearsted railway station', 'Seatwave', 'Sudbury Junction railway station']","['1758399', '43027857', '21118929', '33064188', '6074984', '37721515', '1047873', '30761936', '19158981', '6299238', '14783726', '1748973', '40182131', '54421643', '41317329', '515046', '1676368', '45204073', '42207842', '49597978']"
20,Arts & Entertainment>Fun & Trivia,"['FunTrivia', 'Trivia', 'Pub quiz', 'Game Wave Family Entertainment System', 'Tribes of Redwall Badgers', 'Terror Night', 'Shout About Movies', 'World Carrot Museum', 'Shinji Nakae', 'Game Party', 'IBilib', 'Buena Mano Balita', 'Nubian Jak', 'The Book of General Ignorance', 'Movies in Fifteen Minutes', 'HAKMEM', 'Wet Head', 'Online quiz', 'Shout About TV', 'Math Rabbit']","['31162017', '23804898', '12851354', '8303471', '505526', '34476912', '51641163', '6971282', '26315675', '11766333', '166518', '12720250', '30864675', '53011705', '36225095', '9073352', '2884498', '1690736', '51015459', '6371426']"
21,Arts & Entertainment>Fun & Trivia>Flash-Based Entertainment,"['Flash Thompson', 'Entertainment', 'Entertainment center', 'Fuel Industries', 'Flashtube', 'Super Nintendo Entertainment System', 'Pyrotechnics', 'Infotainment', 'Captain Cold', 'Content Protection for Recordable Media', 'PowerPC 5000', 'Ocean Productions', 'Video hosting service', 'Atmel', 'Presentation program', 'Filmation', 'PlayStation Store', 'Bung Enterprises', 'NyooTV', 'Kazuo Niibori']","['159633', '308034', '1572240', '1238264', '9262', '2144707', '102806', '663186', '387514', '9058896', '333003', '35829085', '27599500', '2945399', '9783860', '10930429', '308054', '187584', '28314', '4923012']"
22,Arts & Entertainment>Fun & Trivia>Fun Tests & Silly Surveys,"['The Abyss', 'Backmasking', 'Baby talk', 'The Phantom Tollbooth', 'Movie 43', 'We Are the World', 'Lost Girl']","['863241', '18589482', '28613119', '29097142', '45568', '178842', '685793']"
23,Arts & Entertainment>Humor,"['Theories of humor', 'Humor research', 'Humor on the internet', 'Gallows humor', 'Office humor', 'Geek humor', 'Misattribution theory of humor', 'College humor magazines', 'Flatulence humor', 'Humor magazine', 'Black comedy', 'Cognitive humor processing', 'Humor styles', 'Sophomoric humor', 'Ethnic joke', 'Deadpan', 'Computational humor', 'Mathematical joke', 'International Festival of the Humor of Bordighera', 'Cringe comedy']","['118365', '41122131', '867889', '14760591', '5459290', '573889', '277978', '4512409', '703765', '35673893', '2266990', '53406742', '17893852', '34764275', '15149966', '2287691', '27066693', '17886894', '542746', '17909855']"
24,Arts & Entertainment>Humor>Live Comedy,"['The Comedy Awards', 'Alternative comedy', 'The Comedians of Comedy', 'Edinburgh Comedy Awards', 'Comedy album', 'Romantic comedy film', 'Aspen RooftopComedy Festival', 'Comedy music', 'Comedic genres', 'Silent comedy', 'Cream of Comedy', 'Comedian', 'Motown Live', 'Sitcom', 'Comedy Workshop', 'Greatest Comedy Hits', 'Comedy Classes', 'The Super Serious Show', 'Live at the Ambassadors', 'Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series']","['363869', '17515287', '179375', '5569772', '44053068', '2273288', '15239944', '11560543', '8229606', '6373118', '14880035', '2961066', '33115744', '3625515', '25531', '1156503', '20913980', '3340893', '31318195', '40890258']"
25,Arts & Entertainment>Humor>Political Humor,"['Political satire', 'Theories of humor', 'Office humor', 'Political journalism', 'Gallows humor', 'Humor magazine', 'Political philosophy', 'Editorial cartoonist', 'Harvard Political Review', 'Cringe comedy', 'Humour in Islam', 'Pun', 'Cartoon', 'Javad Alizadeh', 'Class Clown', 'Edasi', 'Political podcast', 'Adult animation', 'Legend of the White Horse', 'Fremont Solstice Parade']","['1939093', '7165', '3212114', '5459290', '46646116', '205531', '4180155', '703765', '3164786', '2266990', '12099058', '28888523', '2899730', '17886894', '15525934', '23040', '51739333', '1678827', '24145', '17909855']"
26,Arts & Entertainment>Humor>Spoofs & Satire,"['Spoof', 'Satire', 'Parody science', 'The Oxymoron', 'A Year in the Life of a Year', 'Comedy horror', 'Newzoids', 'Parody religion', 'Bomani Armah', 'Citizens of Earth', 'Not Another B Movie', 'Chandrahari', 'The Yes Men', 'Kev King', 'Raw Toonage', 'ScienTOMogy', 'The Great Fetish', 'Uncyclopedia', 'Scary Movie 3', 'Regional Holiday Music']","['54440627', '11034583', '54216628', '47127148', '5866625', '32028665', '46365849', '33802289', '441401', '3272050', '358674', '34001428', '26791', '880056', '3307658', '226721', '7507529', '19611492', '1118654', '13631667']"
27,Arts & Entertainment>Movies,"['Film', 'Movie camera', 'Movie theater', 'Movie ranch', 'Windows Movie Maker', 'B movie', 'Movie projector', 'Movie star', 'MTV Movie Award for Best Song from a Movie', 'Monster movie', 'Road movie', 'ABC Movie of the Week', 'The MySpace Movie', 'The Great Movie Ride', 'Adult movie theater', 'Ultraman X The Movie', 'The Beatles Movie Medley', 'Movie Surfers', 'Television film', 'Interactive movie']","['5263148', '8763731', '105391', '21555729', '1441691', '22688147', '6306096', '5849167', '199539', '731779', '4299450', '235225', '77819', '1055274', '164342', '2290589', '1147170', '4063909', '48850638', '1395774']"
28,Arts & Entertainment>Movies>Action & Adventure Films,"['Adventure film', 'Action fiction', 'Action hero', 'Digimon Adventure', 'Sports film', 'Kenner Star Wars action figures', 'Thriller film', '38th Saturn Awards', 'Digimon Adventure 02', 'Serial film', 'The Ongoing Adventures of Rocket Llama']","['34943408', '232680', '641428', '871086', '1096887', '2881253', '8623694', '9647445', '464897', '18781155', '28148882']"
29,Arts & Entertainment>Movies>Action & Adventure Films>Martial Arts Films,"['Martial arts film', 'Martial arts', 'Elderly martial arts master', 'Mixed martial arts', 'Martial arts timeline', 'Touch of Death', 'Kalarippayattu films', 'Fine art', 'Hee Il Cho', 'Wudang quan', 'Combat reenactment', 'History of film', 'Tiger from Tjampa', 'Chiang Sheng', 'Hakan Haslaman', 'Sanshiro Sugata', 'Baguazhang', 'Ultimate Fighting Championship', 'Ric Meyers', 'Hybrid']","['211997', '25422236', '2290495', '1816470', '90317', '33624326', '15625178', '10783', '504918', '6866227', '19501', '19028', '13208623', '228344', '11566513', '477031', '28795611', '13320978', '169660', '30861578']"
30,Arts & Entertainment>Movies>Action & Adventure Films>Superhero Films,"['Superhero film', 'Superhero', 'Hero at Large', 'Toonpur Ka Super Hero', 'Fantastic Four in film', 'Action film', 'Saturn Award for Best Superhero Adaptation Television Series', 'Springman and the SS']","['43564', '11891556', '10688518', '46414604', '33489109', '43076', '1275470', '26006081']"
31,Arts & Entertainment>Movies>Action & Adventure Films>Western Films,"['Space Western', 'Meat pie Western', 'Film genre', 'Florida Western', 'Westerns on television', 'Hall of Great Western Performers', 'Western blot', 'Western fiction', 'Film industry in Western Australia', 'Sponsored film', 'Western esotericism', 'ScreenWest', 'Moonshine Valley', 'State Library of Western Australia', 'Film festival']","['10781', '12221', '51196696', '7173708', '1579592', '33822995', '24787303', '25470374', '3766056', '11438604', '1360604', '174030', '495185', '655326', '4570871']"
32,Arts & Entertainment>Movies>Animated Films,"['Animator', 'Animated cartoon', 'Academy Award for Best Animated Feature', 'National Film Award for Best Animated Film', 'Chicago Film Critics Association Award for Best Animated Film', 'KROK International Animated Films Festival', 'Animated documentary', 'Computer animation', 'Marvel Animated Features', 'Animated series', 'DC animated universe', 'Flash animation', 'Ottawa International Animation Festival', 'Sand animation', 'Animation director', 'Adult animation']","['61830', '1939093', '36702', '18359721', '235604', '3304549', '161935', '14854199', '6777', '2065813', '1649198', '9746727', '33700618', '4748456', '3706091', '1822796']"
33,Arts & Entertainment>Movies>Bollywood & South Asian Film,"['Music of Bollywood', 'South Asian cinema', 'Hindi Dance Music', 'South Asian Canadians', 'Bhojpuri cinema', 'South Asian TV', 'Asian Underground', 'Indian South Africans', 'Anil Kapoor', 'Cinema of Asia', 'Timeline of South Asian and diasporic LGBT history', 'Film industry', 'Cinema of South Africa', 'East Asian cinema', 'Sepia Mutiny', 'Abbas Hasan', '3 Idiots', 'Cinema of South India', 'ISAFF', 'Mother India']","['17927503', '25248411', '1157583', '1558943', '20663647', '3602330', '1607058', '34025932', '3597571', '649481', '22448394', '32543750', '8424173', '235406', '5508131', '1870720', '1717824', '31729621', '5163690', '42392836']"
34,Arts & Entertainment>Movies>Classic Films,"['Classic Arts Showcase', 'FilmStruck', 'Film format', 'Mystery film', 'Film genre', 'Film criticism', 'Teen film', 'Classic Boat Museum', 'Annecy International Animated Film Festival', 'Horror film', 'Comedy Film Nerds', 'Green Mountain Film Festival', 'Cult film', 'Film session', 'ChaalBaaz', 'Participatory cinema', 'Film laboratory', 'Sleeper hit', 'Outline of film', 'FX Movie Channel']","['5898817', '4125255', '2803907', '24289398', '44011646', '5645', '1760253', '50338721', '11065202', '11433', '12221', '4286221', '16462506', '6858344', '13451', '540763', '6599447', '1763393', '794112', '451845']"
35,Arts & Entertainment>Movies>Classic Films>Silent Films,"['Silent film', 'List of surviving silent film actors', 'A Silent Film', 'Silent Hill (film)', 'Silent partner', 'Silent Voices', 'Silent Scream', 'Silent House', 'Globe International Silent Film Festival', 'Silent Voices (2005 film)', 'Silent Running', 'Silent Love', 'A Silent Witness', 'The Silent Fall', 'Silent Night (disambiguation)', 'Silent Witness (disambiguation)', 'Silent', 'Richard Smith (silent film director)', 'The Silent Heroes', 'The Silent Flyer']","['31569981', '32995490', '53233175', '3886581', '30829875', '15563551', '2465576', '10982336', '38964372', '8730106', '539816', '15226502', '39540816', '20438948', '40480025', '26956', '608242', '9467628', '15804857', '48657515']"
36,Arts & Entertainment>Movies>Comedy Films,"['Comedy film', 'Romantic comedy film', 'Sex comedy', 'Comedy horror', 'The Comedy Awards', 'Zombie comedy', 'Black comedy', 'The Comedy Festival', 'Slapstick', 'Bromantic comedy', 'Musical film', 'Film genre', 'Sketch comedy', 'The Comedy Channel', 'Radio comedy', 'Physical comedy', 'Tragicomedy', 'Romance film', 'Sports film']","['118365', '44265489', '5644', '5866625', '12221', '19029', '410978', '414633', '522822', '25531', '6858494', '51610', '38898', '464897', '31318195', '1423597', '4996716', '104952', '6895911']"
37,Arts & Entertainment>Movies>Cult & Indie Films,"['New religious movements and cults in popular culture', 'Randamoozham', 'Anthology film', 'Mera Naam Joker', 'Venkat Prabhu', 'Nushrat Bharucha', 'Sudigundalu', 'Aalavandhan', 'Ondu Muttina Kathe', 'Naga Chaitanya', 'Maro Charitra', 'Rii Sen', 'Kaminey', 'Deva Katta', '16 Vayathinile', 'Nasbandi', 'Sasidharan Arattuvazhi', 'Haryanvi cinema', 'Sandakozhi', 'Kamalakara Kameswara Rao']","['4709385', '7489472', '163897', '8355530', '44343306', '28426144', '20040056', '11143284', '2262603', '24061330', '20904386', '7775273', '32941339', '24342730', '7700577', '38247348', '6575663', '31485239', '26479782', '1708457']"
38,Arts & Entertainment>Movies>DVD & Video Shopping,"['Video rental shop', 'Home video', 'RAO Video', 'Werribee DVD incident', 'Kumbia Kings Live', 'Magical Shopping Arcade Abenobashi', 'Video game console', 'Video art', 'Looney Tunes Golden Collection', 'PBS Home Video', 'Video game packaging', 'Advanced Content', 'Video film era', 'OpenShot', 'Pet Shop Boys discography', 'Video game industry', 'Brick and mortar', 'Optical disc packaging', 'Fifth generation of video game consoles', 'Shoplifting']","['13956734', '4036644', '485939', '18948312', '21990850', '1073628', '279235', '23049091', '632395', '1487320', '3410119', '50933715', '232169', '32622', '47612088', '32629', '372478', '1890023', '186440', '8613404']"
39,Arts & Entertainment>Movies>DVD & Video Shopping>DVD & Video Rentals,"['Warner Home Video', 'Video Privacy Protection Act', 'Home video', 'Netflix', 'Interactive kiosk', '8 mm video format', 'Sony Pictures Home Entertainment', 'Video on demand', 'Flexplay', 'Be Kind Rewind', 'Guero', 'Manhunt in Space', 'Entertainment Merchants Association', 'FilmFlex', 'Video game industry', 'Hokuto Corporation', 'Clean Films', 'Streaming media', 'Videotape format war', 'Combo television unit']","['948376', '5191706', '16109045', '1792688', '6313394', '995960', '1364874', '1415075', '20607831', '18948312', '1188604', '27289304', '175537', '2065245', '28682', '1562061', '372478', '147143', '799952', '1255017']"
40,Arts & Entertainment>Movies>Documentary Films,"['Documentary film', 'International Documentary Association', 'Animated documentary', 'Nature documentary', 'Documentary film techniques', 'Academy Award for Best Documentary Feature', 'Travel documentary', 'Sundance Institute', 'Atlanta International Documentary Film Festival', 'Jihlava International Documentary Film Festival', 'Full Frame Documentary Film Festival', 'Docufiction', 'Documentary swarm', 'Concert film', 'Documentary mode', 'Documentary practice', 'Reality film', 'One World Film Festival', 'Documentary Educational Resources', 'The Last Dispatch']","['62390', '18359721', '38597930', '5102754', '16184732', '12347700', '8088', '13414975', '24678725', '16078207', '9349702', '4738631', '12639065', '42045625', '4026595', '2508060', '12660727', '23943388', '6436486', '13211867']"
41,Arts & Entertainment>Movies>Drama Films,"['Romance film', 'Legal drama', 'Drama', 'Musical film', 'Radio drama', 'Medical drama', 'Thriller film', 'Docudrama', 'Applied Drama', 'Drama school']","['3329308', '213741', '20913753', '5178476', '62000', '5383034', '19029', '54954', '522822', '28148882']"
42,Arts & Entertainment>Movies>Family Films,"['Kapoor family', 'Ganguly family', 'National Film Award for Best Film on Family Welfare', 'The New Addams Family', 'Outline of film', 'Tribeca Film Festival', 'Family saga', 'Family Outing', 'Romance film', 'Short film', 'Dysfunctional family', 'ASA Filmudlejning', 'Lost film', 'Edinburgh International Film Festival']","['19496592', '1490692', '1530814', '22320059', '170385', '6828596', '3142279', '2044294', '4745371', '6599447', '522822', '498104', '19505518', '2168341']"
43,Arts & Entertainment>Movies>Horror Films,"['Horror film', 'Comedy horror', 'Horror convention', 'Saturn Award for Best Horror Film', 'Psychological horror', 'Blaxploitation horror films', 'Lovecraftian horror', 'Horror fiction', 'Horror host', 'Hood of Horror', 'Bollywood horror films', 'Horror and terror', 'Splatter film', 'Holiday horror', 'Horror comics', 'Horror icon', 'Slasher film', 'Bloody Horror International Film Festival', 'Universal Monsters', 'Misogyny in horror films']","['30884765', '54400814', '28245155', '5866625', '46228874', '5317549', '432622', '24479710', '7210735', '14109', '13451', '4177501', '43943247', '2483264', '45241533', '356304', '484804', '160750', '604029', '5073563']"
44,Arts & Entertainment>Movies>Movie Memorabilia,"['Film memorabilia', 'Souvenir', 'Corgi International', 'Dragon Lady Comics', 'Samson De Brier', 'Theatrical property', 'Deep Red', 'Star Wars Pez', 'Hollywood Heritage Museum', 'London Film and Comic Con', 'Biba Apparels', 'Profiles in History', 'Diminished Capacity', 'Selling Hitler', 'Titanic Historical Society', 'Christiane Schmidtmer', 'The Banger Sisters', 'RAF Old Buckenham', 'Neonopolis', 'AVN Adult Entertainment Expo']","['5033062', '45625204', '17997957', '8880028', '4185266', '14964780', '34599708', '5711479', '669422', '18510989', '5818314', '46345096', '7079726', '44419230', '29773777', '937531', '18242403', '396470', '639072', '1703143']"
